Researcher,Code,GrantID,Start,End,Title,Value
Q Cai,cai,EP/W033178/1,01/04/2022,31/03/2023,Scalable metamaterial thermally sprayed catalyst coatings,240883
Q Cai,cai,EP/R021554/2,01/01/2019,31/10/2021,ISCF Wave 1:Designing Electrodes for Na,806576
Q Cai,cai,EP/R021554/1,01/01/2018,31/12/2018,ISCF Wave 1:Designing Electrodes for Na,1101992
J Dawson,jad,EP/W031590/1,01/09/2022,29/02/2024,Transforming Parkinson's disease clinical management with,403409
J Dawson,jad,EP/V013130/1,17/05/2021,16/05/2024,Mastering Ion Transport at the Microscale,347222
N Dzade,dza,EP/S001395/1,29/06/2018,14/09/2021,Computer-aided design of zinc phosphide heterojunctions,525254
J McGrady,mcg,EP/T027991/1,01/10/2020,30/09/2025,Exploiting the anion Chemistry of solids,1023098
J McGrady,mcg,EP/T010681/1,01/04/2020,31/03/2023,Beyond cyanide: Future synthons based on,417021
N Chilton,chi,EP/S033181/1,01/09/2019,31/08/2024,Magnetic Properties Measurement System for Manchester,732173
N Chilton,chi,EP/R02605X/1,01/07/2018,31/12/2021,Targeting Molecular Magnetic Hysteresis at Liquid,437939
N Bristowe,bri,EP/V053442/1,01/01/2022,30/06/2024,New directions in high temperature dielectrics:,77006
N Bristowe,bri,EP/T022213/1,01/01/2020,31/12/2023,The Materials and Molecular Modelling,4510208
G Booth,boo,EP/T022213/1,01/01/2020,31/12/2023,The Materials and Molecular Modelling,4510208
G Booth,boo,EP/W032260/1,01/11/2021,31/03/2022,Introducing heterogeneous HPC solutions to UK's,757879
M Rucsandra Filip,fil,EP/V010840/1,01/03/2021,31/08/2024,Metal halide semiconductors: materials discovery beyond,1366328
M Salvalaglio,slv,EP/R018820/1,01/03/2018,29/02/2024,Crystallisation in the Real World: Delivering,5436236
C Lekakou,lek,EP/W01114X/1,30/07/2021,29/01/2023,Development and manufacturing of innovative  low-cost,521709
K Inzani,kin,EP/W028131/1,01/04/2022,31/03/2027,Theory-led Design of 2D Spin,1014377
T Keal,,EP/W014378/1,01/04/2022,31/03/2026,Predictive multiscale free energy simulations of,682674
T Keal,,EP/W026775/1,01/12/2021,30/11/2024,Particles At eXascale on High Performance,3041191
T Keal,,EP/V001507/1,01/05/2020,31/12/2021,Materials and Molecular Modelling Exascale Design,95728
T Keal,,EP/R001847/1,01/01/2018,30/04/2022,Transition metal controlled nitrogen chemistry in,1022120
